"mydate","v1","v2","v3","v4","v5","v6","mys"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-05-31,"02","05","07","10","16","36","01"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-03,"07","13","20","25","32","37","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-07,"05","07","10","23","28","30","07"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
